pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode,
H5,2019,2019,2019,0,0,1,Import,887,Yemen,YEM,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,4715958741,None,None,4,
H5,2019,2019,2019,0,0,2,Export,887,Yemen,YEM,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,23783553,None,None,0,
H5,2019,2019,2019,0,0,3,Re-Export,887,Yemen,YEM,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,15308088,None,None,0,
H5,2019,2019,2019,0,0,1,Import,894,Zambia,ZMB,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,7221084744,None,None,4,
H5,2019,2019,2019,0,0,2,Export,894,Zambia,ZMB,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,7029095024,None,None,4,
H5,2019,2019,2019,0,0,3,Re-Export,894,Zambia,ZMB,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,211342871,None,None,0,
H5,2019,2019,2019,0,0,4,Re-Import,894,Zambia,ZMB,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,28,None,None,0,
H4,2019,2019,2019,0,0,1,Import,268,Georgia,GEO,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,9516910383,None,None,4,
H4,2019,2019,2019,0,0,2,Export,268,Georgia,GEO,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,None,None,3798385371,None,None,4,
H4,2019,2019,2019,0,0,3,Re-Export,268,Georgia,GEO,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,1868501833,None,None,0,
H4,2019,2019,2019,0,0,4,Re-Import,268,Georgia,GEO,0,World,WLD,None,,,,,,,TOTAL,All Commodities,1,No Quantity,None,,0,None,0,None,8127176,None,None,0,
