web-scraper-order,web-scraper-start-url,content
"1607355794-584","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","弱弱的说一句，现在称职的全职太太也得有文化啊要不孩子都辅导不了。"
"1607355794-284","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","其实我觉得比较奇怪的事，都说全职太太能给孩子更好的教育……不是，这是哪个证明的?那我们这些广大的职场女性就带不好娃了?我们职场女性的家庭就不幸福了?与其讨论女的该不该全职，不如讨论下男性该不该承担家庭和育儿事务。反正我上班之余还在读研，孩子教育得很好，家庭氛围也很好，不觉得需要全职"
"1607355794-848","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","女人当全职太太怎么了，生了孩子没人帮忙带，不自己带你给我带啊，歧视全职太太呢，没有全职太太在家带娃，特么的男人能安心上班赚奶粉钱呢！全职太太怎么了，这是个人选择，别人无权干涉！"
"1607355794-176","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","评论区戾气好大，说实话，她当不当关我屁事，反正我不当。"
"1607355794-683","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","吃瓜群众能怎么看待？我也想做全职太太、但问题是谁都看不上"
"1607355794-396","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","任何人都不能去干预别人的私生活，这是最起码的教养！！！"
"1607355794-106","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","怎么说呢，张校长也是失望吧，自己辛苦培养出来的姑娘好不容易走出大山，最后还是依附别人而活。以后山里有其他人家强迫自己的女儿，不许读书早点结婚的时候，她们就会说：女孩子读什么书哦，你看那个谁谁谁，读完大学不也是在家带孩子照顾老公吗"
"1607355794-247","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","我反对女性做全职太太，但是其他人要当也跟我没关系，在没有损害到其他人的情况下谁都有反对的权利。再者张校长自费培养，结果出来一个全职太太，那么就意味着有另外一个女孩失去了走出大山的机会"
"1607355794-663","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","校长费了那么大劲儿让女孩子上学，到头来辛辛苦苦培养的学生去做免费保姆，搁谁谁愿意啊？凭什么默认女孩就该在家操持忙死忙活打扫卫生做饭带孩子？ 上你上学，是让你能做自己，不做谁的附属品。"
"1607355794-732","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","她反对的是她费尽心血教育出来的学生，又不是整个女性群体"
"1607355794-279","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","就大部分评论而言~那些看不起全职的 不会做全职的~也都别结婚了~不结婚不生孩子就不会有热评口中的被出轨被嫌弃被家暴与社会脱轨~毕竟这些连谈个恋爱都可能会有的遭遇~那些请保姆的孩子都要人养还又要多个保姆养~下辈子都做个男人吧~别投胎做女人了~生孩子不带孩子要被骂 带孩子要被骂~很难"
"1607355794-249","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","只要是自己选择的，就支持"
"1607355794-881","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","自媒体真的是断章取义,光看标题我一男的都想开喷了,看了一下内容,别人校长资助过她,初心肯定不是让她做家庭主妇的,如师也如父母,不必上升到整个女性"
"1607355794-277","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","太极端了，有些家庭没有老人帮忙看顾小孩，家长不放心保姆带愿意自己带有什么不可以呢？还是说现在普遍的观念是小孩都不需要父母亲自教养交给统一的机构最合适？我认为有条件的话孩子有一个直系亲属看顾是最好的。说女人做家庭主妇的老公多少外遇的，这首先难道不是个人道德的问题吗？"
"1607355794-664","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","不明白有什么好吵的全职太太？要是这活有一丁点的好处和便宜，还能轮得到女的？"
"1607355794-505","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","平时发的新闻没几个人看，现在来蹭热度，这么多人围观评论，开心吗？"
"1607355794-401","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","可是很多人也是因为孩子选择当全职妈妈吧"
"1607355794-209","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","做“全职太太”也得会嫁人，嫁对人， 我就得靠自己拼命工作。"
"1607355794-355","https://m.weibo.cn/status/4564229174070145?display=0&retcode=6102","如果是在家里照顾老公孩子的全职太太迟早会被抛弃的"
