distanceKM, distanceMILE, distanceNA
6402.52,3978.34,3457.09
10621.03,6599.60,5734.90
3399.77,2112.52,1835.73
9043.93,5619.64,4883.33
9067.92,5634.55,4896.29
16108.30,10009.24,8697.79
6566.69,4080.35,3545.73
2270.49,1410.82,1225.97
10374.95,6446.69,5602.02
12200.74,7581.19,6587.87
8791.21,5462.60,4746.87
3899.63,2423.12,2105.63
5674.19,3525.78,3063.82
11776.23,7317.41,6358.66
1279.35,794.95,690.79
6981.66,4338.20,3769.79
12807.74,7958.36,6915.63
7358.08,4572.10,3973.04
3359.55,2087.53,1814.01
13059.54,8114.82,7051.59
14323.39,8900.14,7734.01
7370.87,4580.05,3979.95
12723.53,7906.04,6870.16
11447.07,7112.88,6180.92
6812.35,4233.00,3678.38
13678.20,8499.24,7385.64
9484.25,5893.24,5121.08
5914.22,3674.93,3193.42
9994.68,6210.41,5396.70
13704.98,8515.88,7400.10
9110.51,5661.01,4919.28
8784.16,5458.22,4743.07
10448.33,6492.29,5641.65
4540.99,2821.64,2451.94
13176.53,8187.52,7114.76
10421.82,6475.82,5627.33
10427.95,6479.63,5630.64
4028.54,2503.22,2175.24
6697.39,4161.57,3616.30
8574.80,5328.14,4630.02
7837.71,4870.13,4232.03
8584.62,5334.24,4635.33
5905.82,3669.71,3188.89
3606.44,2240.94,1947.32
8082.20,5022.05,4364.04
5082.00,3157.81,2744.06
3749.41,2329.78,2024.52
9278.65,5765.48,5010.07
11128.23,6914.76,6008.76
10605.24,6589.79,5726.37
6307.52,3919.31,3405.79
12658.54,7865.65,6835.06
6270.62,3896.38,3385.86
5648.39,3509.75,3049.89
11215.46,6968.96,6055.86
9597.26,5963.46,5182.10
8673.89,5389.71,4683.53
6552.93,4071.80,3538.30
6128.41,3808.02,3309.08
8434.71,5241.09,4554.38
11539.54,7170.34,6230.86
7745.50,4812.83,4182.23
3938.33,2447.16,2126.53
3694.06,2295.38,1994.63
7084.48,4402.09,3825.31
4613.98,2866.99,2491.35
3004.24,1866.75,1622.16
3646.42,2265.78,1968.91
12425.20,7720.66,6709.07
6774.21,4209.30,3657.78
3860.39,2398.73,2084.44
15644.38,9720.97,8447.29
9552.16,5935.44,5157.75
9386.54,5832.53,5068.33
4898.64,3043.88,2645.06
8967.96,5572.43,4842.31
6729.46,4181.49,3633.62
7944.13,4936.25,4289.49
3053.57,1897.40,1648.80
10319.51,6412.25,5572.09
8819.69,5480.30,4762.25
9000.47,5592.64,4859.87
11846.55,7361.11,6396.63
9942.35,6177.89,5368.44
9765.95,6068.28,5273.19
12965.18,8056.19,7000.64
8812.53,5475.85,4758.38
13257.14,8237.61,7158.28
6434.71,3998.34,3474.46
7562.76,4699.28,4083.56
13144.29,8167.48,7097.35
6642.08,4127.20,3586.44
5850.23,3635.17,3158.87
5425.47,3371.23,2929.52
14065.21,8739.71,7594.60
12622.87,7843.49,6815.80
14607.72,9076.81,7887.54
13713.53,8521.19,7404.71
7275.75,4520.94,3928.59
7276.86,4521.63,3929.19
6238.50,3876.42,3368.52
14916.38,9268.61,8054.20
3603.56,2239.15,1945.77
9632.66,5985.46,5201.22
7158.98,4448.39,3865.54
7134.19,4432.98,3852.16
5840.77,3629.29,3153.77
13415.00,8335.69,7243.52
11055.51,6869.57,5969.50
11980.32,7444.23,6468.86
12148.11,7548.49,6559.45
11659.02,7244.58,6295.37
5630.52,3498.64,3040.24
3696.29,2296.77,1995.84
13416.83,8336.83,7244.51
14484.60,9000.31,7821.06
3833.73,2382.17,2070.05
7996.09,4968.54,4317.54
8761.52,5444.16,4730.84
5597.68,3478.23,3022.50
10669.48,6629.71,5761.06
4070.08,2529.03,2197.66
14304.07,8888.13,7723.58
8073.65,5016.74,4359.42
6392.73,3972.26,3451.80
13135.07,8161.75,7092.37
6576.26,4086.30,3550.90
5386.98,3347.31,2908.74
6753.27,4196.29,3646.48
15438.27,9592.90,8336.00
10515.71,6534.16,5678.03
7411.98,4605.59,4002.15
5457.88,3391.37,2947.02
11385.76,7074.79,6147.82
3350.57,2081.95,1809.16
3756.30,2334.06,2028.24
3837.88,2384.75,2072.29
9390.59,5835.04,5070.51
10289.72,6393.73,5556.00
6388.92,3969.89,3449.74
7043.34,4376.53,3803.10
13474.68,8372.78,7275.74
7204.97,4476.96,3890.37
11337.05,7044.52,6121.52
14820.99,9209.34,8002.70
6615.14,4110.46,3571.89
12624.67,7844.61,6816.78
6589.54,4094.55,3558.07
12190.33,7574.72,6582.25
13060.45,8115.39,7052.08
12702.90,7893.22,6859.02
5689.91,3535.54,3072.30
10952.58,6805.62,5913.92
10134.62,6297.36,5472.26
4828.54,3000.31,2607.20
13030.53,8096.79,7035.92
5993.36,3724.10,3236.15
6083.49,3780.11,3284.82
8893.39,5526.10,4802.05
10024.78,6229.11,5412.95
13424.05,8341.32,7248.41
8502.14,5282.99,4590.79
12389.04,7698.20,6689.55
4094.25,2544.05,2210.72
10746.64,6677.65,5802.72
6911.51,4294.61,3731.91
8162.94,5072.22,4407.64
9669.83,6008.55,5221.29
11395.40,7080.77,6153.02
7216.29,4484.00,3896.49
2047.38,1272.18,1105.50
8856.45,5503.14,4782.10
5361.18,3331.28,2894.81
3783.15,2350.74,2042.74
734.09,456.14,396.38
7800.06,4846.74,4211.70
9144.82,5682.33,4937.81
9762.30,6066.01,5271.22
3971.66,2467.87,2144.52
11567.01,7187.41,6245.68
10958.03,6809.00,5916.86
12304.66,7645.76,6643.99
4173.76,2593.46,2253.65
7674.92,4768.98,4144.13
9106.64,5658.61,4917.19
11754.77,7304.07,6347.07
13668.80,8493.40,7380.56
5513.46,3425.90,2977.03
19263.60,11969.85,10401.51
9011.06,5599.21,4865.58
7457.16,4633.66,4026.54
12650.39,7860.59,6830.66
6177.65,3838.61,3335.66
3026.43,1880.54,1634.14
5937.51,3689.40,3206.00
14102.42,8762.84,7614.70
7958.44,4945.15,4297.21
2821.84,1753.41,1523.67
11652.34,7240.43,6291.76
7606.40,4726.40,4107.13
11773.10,7315.46,6356.96
16929.30,10519.38,9141.09
13142.92,8166.63,7096.61
11704.54,7272.86,6319.95
3900.17,2423.45,2105.92
7349.80,4566.95,3968.57
2957.43,1837.66,1596.89
9995.50,6210.92,5397.14
6465.41,4017.42,3491.04
3350.81,2082.09,1809.29
10986.66,6826.80,5932.32
10448.33,6492.29,5641.65
12639.85,7854.04,6824.97
10358.12,6436.24,5592.94
5163.59,3208.51,2788.11
10086.89,6267.70,5446.48
19058.95,11842.68,10291.01
14948.42,9288.52,8071.50
9448.17,5870.82,5101.60
11258.66,6995.81,6079.19
11259.47,6996.31,6079.63
14086.27,8752.80,7605.98
7635.87,4744.71,4123.04
7063.64,4389.14,3814.06
17365.52,10790.44,9376.63
11516.47,7156.00,6218.39
7198.09,4472.69,3886.66
13869.06,8617.83,7488.69
18046.66,11213.68,9744.42
15347.72,9536.63,8287.10
13491.47,8383.21,7284.81
11222.25,6973.18,6059.53
8312.50,5165.15,4488.39
7861.65,4885.00,4244.95
6361.09,3952.60,3434.71
9102.00,5655.72,4914.69
6318.80,3926.32,3411.88
8213.60,5103.70,4434.99
7758.46,4820.88,4189.23
11414.70,7092.76,6163.44
5845.32,3632.11,3156.22
12346.45,7671.73,6666.55
7353.56,4569.29,3970.60
11813.18,7340.37,6378.61
7129.09,4429.81,3849.40
7613.42,4730.76,4110.92
14231.53,8843.06,7684.41
13338.93,8288.43,7202.44
12498.44,7766.17,6748.62
14787.85,9188.74,7984.80
13449.97,8357.42,7262.40
13529.76,8407.01,7305.49
1977.04,1228.48,1067.52
7337.19,4559.12,3961.76
7879.45,4896.06,4254.56
5219.65,3243.34,2818.39
5598.58,3478.80,3022.99
6293.85,3910.82,3398.41
8279.55,5144.67,4470.60
7119.04,4423.57,3843.97
8122.88,5047.32,4386.00
12106.11,7522.39,6536.78
13433.69,8347.31,7253.61
2099.47,1304.55,1133.62
3650.66,2268.42,1971.20
7049.59,4380.41,3806.47
9212.73,5724.53,4974.48
11699.05,7269.45,6316.98
6215.74,3862.28,3356.23
3467.19,2154.41,1872.13
2778.34,1726.38,1500.19
6971.17,4331.68,3764.13
11958.46,7430.64,6457.05
6513.64,4047.39,3517.08
12561.26,7805.21,6782.54
2865.05,1780.26,1547.01
6559.14,4075.66,3541.65
7953.56,4942.12,4294.58
9520.26,5915.62,5140.53
9664.87,6005.47,5218.61
10388.40,6455.05,5609.29
4348.05,2701.75,2347.76
5850.95,3635.61,3159.26
11827.38,7349.19,6386.27
8407.28,5224.04,4539.57
11894.42,7390.85,6422.47
9042.84,5618.96,4882.75
12456.67,7740.21,6726.06
1166.16,724.62,629.68
6890.44,4281.52,3720.54
7641.00,4747.90,4125.81
9938.11,6175.25,5366.15
11334.80,7043.12,6120.30
5652.28,3512.16,3051.99
12359.00,7679.52,6673.32
6808.56,4230.64,3676.33
3154.11,1959.87,1703.08
7818.93,4858.46,4221.88
14144.12,8788.75,7637.22
8366.55,5198.73,4517.57
10783.46,6700.53,5822.60
13770.50,8556.59,7435.47
11009.04,6840.70,5944.41
10928.28,6790.52,5900.80
7021.62,4363.03,3791.37
5540.46,3442.68,2991.61
11704.49,7272.83,6319.92
4038.62,2509.49,2180.68
3879.05,2410.33,2094.52
14336.17,8908.09,7740.91
6342.53,3941.07,3424.69
18295.52,11368.31,9878.79
16647.21,10344.09,8988.77
2853.82,1773.28,1540.94
6937.84,4310.97,3746.13
9665.21,6005.68,5218.80
12423.96,7719.89,6708.40
5474.97,3401.99,2956.25
6153.85,3823.83,3322.81
7057.61,4385.39,3810.80
5816.39,3614.13,3140.60
9833.26,6110.10,5309.53
13651.05,8482.37,7370.98
14010.81,8705.91,7565.23
14106.41,8765.31,7616.85
7983.94,4960.99,4310.98
11644.47,7235.54,6287.51
6595.66,4098.35,3561.37
12290.67,7637.07,6636.43
7411.90,4605.54,4002.11
7935.12,4930.65,4284.62
12551.45,7799.11,6777.24
3776.63,2346.69,2039.22
4479.94,2783.70,2418.97
7416.39,4608.33,4004.53
2327.42,1446.19,1256.70
7712.06,4792.05,4164.18
8254.87,5129.34,4457.28
11664.19,7247.79,6298.16
10884.09,6763.06,5876.94
9218.89,5728.35,4977.80
9217.60,5727.55,4977.10
8386.62,5211.20,4528.41
14854.47,9230.14,8020.77
11656.47,7243.00,6293.99
6704.85,4166.20,3620.33
8072.11,5015.78,4358.59
6930.98,4306.71,3742.43
4053.53,2518.75,2188.73
3297.79,2049.15,1780.66
11654.26,7241.62,6292.80
9804.39,6092.16,5293.94
14385.72,8938.87,7767.67
5960.71,3703.82,3218.53
8638.78,5367.89,4664.57
6832.08,4245.26,3689.03
4930.50,3063.67,2662.26
8388.59,5212.43,4529.48
9457.41,5876.56,5106.59
6446.48,4005.66,3480.82
12280.21,7630.57,6630.78
7541.61,4686.14,4072.15
8138.09,5056.77,4394.22
9487.40,5895.20,5122.78
11144.93,6925.14,6017.78
11375.30,7068.28,6142.17
19153.91,11901.69,10342.28
3927.96,2440.72,2120.93
14396.76,8945.73,7773.63
9507.33,5907.58,5133.55
7411.68,4605.40,4001.99
10942.30,6799.23,5908.37
5582.31,3468.69,3014.21
1600.97,994.80,864.46
1345.01,835.75,726.25
6500.69,4039.34,3510.09
6705.55,4166.64,3620.71
